osmid,y,x,street_count,highway,junction,longitude,latitude
1105125467,35.6719008,139.7683782,4,,,139.7683782,35.6719008
1105125486,35.6731988,139.7704019,3,,,139.7704019,35.6731988
1105125509,35.6735314,139.768209,4,,,139.768209,35.6735314
1105125515,35.670032,139.766651,3,,,139.766651,35.670032
1105125516,35.6742092,139.7697946,3,,,139.7697946,35.6742092
1105125539,35.6732927,139.768561,4,,,139.768561,35.6732927
1105125583,35.6713031,139.7669672,4,,,139.7669672,35.6713031
1105125625,35.6676284,139.7611885,4,,yes,139.7611885,35.6676284
1105125628,35.6728553,139.7712791,3,,,139.7712791,35.6728553
1105125645,35.6704644,139.7665591,3,,,139.7665591,35.6704644
1105125657,35.6729578,139.7710047,4,,,139.7710047,35.6729578
1105125670,35.6731234,139.7688153,4,,,139.7688153,35.6731234
1105125707,35.674259,139.7696956,3,,,139.7696956,35.674259
1105125749,35.6728922,139.7691653,4,,,139.7691653,35.6728922
1105152856,35.6749414,139.7681998,3,,,139.7681998,35.6749414
1105152881,35.6750752,139.7677584,3,,,139.7677584,35.6750752
1105152884,35.6726294,139.7711072,3,,,139.7711072,35.6726294
1105152891,35.668213,139.7679854,3,,,139.7679854,35.668213
1105152894,35.673803,139.7678195,4,,yes,139.7678195,35.673803
1105152915,35.6708118,139.7699712,4,,,139.7699712,35.6708118
1105152917,35.6717661,139.7698349,3,,,139.7698349,35.6717661
1105152918,35.6723198,139.7718268,3,,,139.7718268,35.6723198
1105152920,35.6738456,139.7677657,4,,yes,139.7677657,35.6738456
1105152922,35.6753916,139.7667528,3,,,139.7667528,35.6753916
1105152927,35.668459,139.7682776,4,traffic_signals,,139.7682776,35.668459
1105152945,35.6734449,139.7721952,3,,,139.7721952,35.6734449
1105152951,35.6749077,139.7662507,4,,,139.7662507,35.6749077
1105152954,35.6699152,139.7689251,3,,,139.7689251,35.6699152
1130958290,35.6673885,139.7657884,4,,,139.7657884,35.6673885
1130958305,35.6669309,139.7625203,3,,,139.7625203,35.6669309
1130958313,35.6669144,139.7663559,4,,,139.7663559,35.6669144
1130958331,35.6658562,139.7657647,3,,,139.7657647,35.6658562
1130958355,35.6688643,139.7678302,3,,,139.7678302,35.6688643
1130958386,35.668363,139.7665094,3,,,139.7665094,35.668363
1130958407,35.6673438,139.7620234,3,,,139.7620234,35.6673438
1130958426,35.6676175,139.7634333,4,,,139.7634333,35.6676175
1130958441,35.6699099,139.7666067,3,,,139.7666067,35.6699099
1130958464,35.6698801,139.7664615,3,,,139.7664615,35.6698801
1130958517,35.6689309,139.76793,3,,,139.76793,35.6689309
1130958520,35.6691077,139.7635777,3,,,139.7635777,35.6691077
1130958543,35.6725184,139.7643949,3,,,139.7643949,35.6725184
1130958546,35.6678348,139.7631742,4,,,139.7631742,35.6678348
1130958558,35.6665585,139.764762,4,,,139.764762,35.6665585
1130958573,35.6666209,139.7648386,4,,,139.7648386,35.6666209
1130958590,35.6682588,139.7626046,4,,,139.7626046,35.6682588
1130958602,35.6688335,139.763967,4,,,139.763967,35.6688335
1130958618,35.6674628,139.7616647,3,,,139.7616647,35.6674628
1130958646,35.6681087,139.7667936,4,,,139.7667936,35.6681087
1130958663,35.6691712,139.7674799,3,,,139.7674799,35.6691712
1130958668,35.6698766,139.7689785,3,,,139.7689785,35.6698766
1130958685,35.66761,139.7655184,4,,,139.7655184,35.66761
1130958745,35.666603,139.7667079,2,,,139.7667079,35.666603
1130958758,35.6680315,139.7629257,4,,,139.7629257,35.6680315
1130958801,35.6668419,139.7645734,4,,,139.7645734,35.6668419
1130958878,35.6707765,139.7655487,3,,,139.7655487,35.6707765
1130958910,35.6661036,139.7642079,4,,,139.7642079,35.6661036
1130958932,35.6696399,139.7650265,4,traffic_signals,,139.7650265,35.6696399
1130958964,35.6700155,139.7660245,3,,,139.7660245,35.6700155
1130958976,35.6678809,139.7651943,3,,,139.7651943,35.6678809
1130958981,35.6699456,139.7645762,3,,,139.7645762,35.6699456
1715778976,35.6677265,139.7662667,3,,,139.7662667,35.6677265
1715779072,35.6679855,139.7659812,3,,,139.7659812,35.6679855
1715779074,35.6682713,139.7656626,3,,,139.7656626,35.6682713
1721499195,35.6676832,139.7645904,3,,,139.7645904,35.6676832
1721499345,35.6681032,139.7640807,3,,,139.7640807,35.6681032
1891432787,35.6693984,139.7631623,4,,yes,139.7631623,35.6693984
2019136813,35.670379,139.7602333,3,,,139.7602333,35.670379
2019136815,35.6706347,139.7598627,3,,,139.7598627,35.6706347
2135828535,35.6683972,139.7589114,4,traffic_signals,,139.7589114,35.6683972
2135828537,35.6684528,139.7588465,4,traffic_signals,,139.7588465,35.6684528
2135828545,35.6690738,139.7596686,4,,,139.7596686,35.6690738
2135828550,35.6691291,139.7595953,4,,,139.7595953,35.6691291
2135828574,35.6697757,139.7604249,4,,,139.7604249,35.6697757
2135828579,35.669832,139.7603446,4,,,139.7603446,35.669832
2135828611,35.670669,139.7613399,4,traffic_signals,,139.7613399,35.670669
2135828613,35.6707158,139.7612762,4,traffic_signals,,139.7612762,35.6707158
2135828629,35.6715614,139.7622976,4,,,139.7622976,35.6715614
2135828631,35.6716066,139.7622324,4,,,139.7622324,35.6716066
2135828639,35.6724544,139.7632528,4,crossing,,139.7632528,35.6724544
2135828641,35.6725123,139.7631752,4,crossing,,139.7631752,35.6725123
2135828643,35.6725323,139.7633306,4,crossing,,139.7633306,35.6725323
2135828644,35.6725866,139.7632521,4,crossing,,139.7632521,35.6725866
2135828653,35.6728946,139.763852,3,,,139.763852,35.6728946
2135828659,35.6731832,139.7642978,4,traffic_signals,,139.7642978,35.6731832
2135828662,35.6735107,139.7644116,3,,,139.7644116,35.6735107
2135828665,35.674201,139.7650573,4,traffic_signals,,139.7650573,35.674201
2135828666,35.6742474,139.7649508,4,traffic_signals,,139.7649508,35.6742474
2135828671,35.6751899,139.7657767,4,traffic_signals,,139.7657767,35.6751899
2135828672,35.6751827,139.7656226,4,traffic_signals,,139.7656226,35.6751827
2135828675,35.6755969,139.7660545,4,,,139.7660545,35.6755969
2153861395,35.6729494,139.7701875,3,,,139.7701875,35.6729494
2153861397,35.6732501,139.7702624,3,,,139.7702624,35.6732501
2153861398,35.6735094,139.7696364,3,,,139.7696364,35.6735094
2172319420,35.6660704,139.7630093,3,,,139.7630093,35.6660704
2882602655,35.6739818,139.7653958,3,,,139.7653958,35.6739818
3949376510,35.6732419,139.7642046,3,traffic_signals,,139.7642046,35.6732419
5110457571,35.6744429,139.7703794,3,,,139.7703794,35.6744429
5110457574,35.6742209,139.7709807,3,,,139.7709807,35.6742209
5110457575,35.6739499,139.771751,3,,,139.771751,35.6739499
5110457577,35.6741275,139.7712123,3,,,139.7712123,35.6741275
5110476586,35.6744743,139.7711431,3,,,139.7711431,35.6744743
5218144609,35.6702842,139.765896,3,,,139.765896,35.6702842
6188342496,35.6719948,139.7606232,3,,,139.7606232,35.6719948
6271645596,35.667429,139.7674576,2,,,139.7674576,35.667429
7004247499,35.6745168,139.7675529,1,,,139.7675529,35.6745168
7004247500,35.6744361,139.7676726,3,,,139.7676726,35.6744361
7092267898,35.6635538,139.7631503,3,,,139.7631503,35.6635538
7094898112,35.6650439,139.7634211,3,,,139.7634211,35.6650439
8559939434,35.6756321,139.7659494,3,,,139.7659494,35.6756321
9510994556,35.6643698,139.7634914,3,,,139.7634914,35.6643698
10154457637,35.6727411,139.762737,3,,,139.762737,35.6727411
11583657069,35.6730427,139.7700823,3,,,139.7700823,35.6730427
11583657070,35.6735795,139.7707427,3,,,139.7707427,35.6735795
